original_title,director,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
Jurassic World,Colin Trevorrow,Action|Adventure|Science Fiction|Thriller,5562,6.5,2015,137999939.280026,1392445892.5238
Mad Max: Fury Road,George Miller,Action|Adventure|Science Fiction|Thriller,6185,7.1,2015,137999939.280026,348161292.489031
Insurgent,Robert Schwentke,Adventure|Science Fiction|Thriller,2480,6.3,2015,101199955.472019,271619025.407628
Star Wars: The Force Awakens,J.J. Abrams,Action|Adventure|Science Fiction|Fantasy,5292,7.5,2015,183999919.040035,1902723129.80182
Furious 7,James Wan,Action|Crime|Thriller,2947,7.3,2015,174799923.08803302,1385748801.47052
The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western|Drama|Adventure|Thriller,3929,7.2,2015,124199945.352024,490314247.02173096
Terminator Genisys,Alan Taylor,Science Fiction|Action|Thriller|Adventure,2598,5.8,2015,142599937.256027,405355075.683766
The Martian,Ridley Scott,Drama|Adventure|Science Fiction,4572,7.6,2015,99359956.2816192,547749654.3101518
Minions,Kyle Balda|Pierre Coffin,Family|Animation|Adventure|Comedy,2893,6.5,2015,68079970.0448131,1064192016.7955099
Inside Out,Pete Docter,Comedy|Animation|Family,3935,8.0,2015,160999929.16003102,785411574.698907
Spectre,Sam Mendes,Action|Adventure|Crime,3254,6.2,2015,225399900.824043,810220283.783075
Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Science Fiction|Fantasy|Action|Adventure,1937,5.2,2015,161919931.51523,169268630.681802
Ex Machina,Alex Garland,Drama|Science Fiction,2854,7.6,2015,13799993.9280026,33919845.9552677
Pixels,Chris Columbus,Action|Comedy|Science Fiction,1575,5.8,2015,80959964.37761559,224146025.095748
Avengers: Age of Ultron,Joss Whedon,Action|Adventure|Science Fiction,4304,7.4,2015,257599886.656049,1292632336.88177
The Hateful Eight,Quentin Tarantino,Crime|Drama|Mystery|Western,2389,7.4,2015,40479982.18880779,143299244.588332
Taken 3,Olivier Megaton,Crime|Action|Thriller,1578,6.1,2015,44159980.5696085,299709578.207785
Ant-Man,Peyton Reed,Science Fiction|Action|Adventure,3779,7.0,2015,119599947.376023,477113780.029936
Cinderella,Kenneth Branagh,Romance|Fantasy|Family|Drama,1495,6.8,2015,87399961.54401691,498963025.216268
